program_name,required_subjects,expanded_score_dict,group,score_dict
世新大學 資訊管理學系資訊管理組,['國'],{'國': 8},資訊,{'國': 7.590839470767579}
中信金融管理學院 企業管理學系,['國'],{'國': 11},管理,{'國': 10.683557045707248}
中信金融管理學院 財務金融學系,['國'],{'國': 10},管理,{'國': 9.62895433117863}
中信金融管理學院 財經法律學系,['國'],{'國': 11},法政,{'國': 11.0}
中信金融管理學院 金融管理學院學士班,['國'],{'國': 12},數理化,{'國': 11.523231733689638}
中原大學 中原大學與美國天普大學商學管理雙學士學位學程,"['國', '英']","{'國': 9, '英': 8}",管理,"{'國': 8.594356144395473, '英': 7.996752974149341}"
中原大學 企業管理學系工商管理組,['國社'],"{'國': 11, '社': 11}",管理,{'國社': 22.58896791737473}
中原大學 企業管理學系服務業管理組,['國社'],"{'國': 11, '社': 11}",管理,{'國社': 22.58896791737473}
中原大學 企業管理學系高科技業管理組,['國社'],"{'國': 8, '社': 8}",工程,{'國社': 17.0}
中原大學 化學工程學系材料工程組,['英數A自'],"{'英': 11, '數A': 11, '自': 11}",工程,{'英數A自': 31.669594197461706}
中原大學 化學工程學系生化工程組,['英數A自'],"{'英': 9, '數A': 9, '自': 9}",工程,{'英數A自': 26.52326975304767}
中原大學 化學工程學系綠能製程組,['英數A自'],"{'英': 8, '數A': 8, '自': 8}",工程,{'英數A自': 22.66044426244354}
中原大學 化學系化學組,"['英數A', '自']","{'英': 6, '數A': 6, '自': 11}",數理化,"{'英數A': 12.095973705503036, '自': 11.242571566577327}"
中原大學 化學系材料化學組,"['英數A', '自']","{'英': 7, '數A': 7, '自': 12}",工程,"{'英數A': 14.659914838417048, '自': 11.773563462773216}"
中原大學 商業設計學系商業設計組,['國英'],"{'國': 11, '英': 11}",建築設計,{'國英': 21.329068393869925}
中原大學 商業設計學系產品設計組乙類,['國英自'],"{'國': 10, '英': 10, '自': 10}",建築設計,{'國英自': 29.31844754051517}
中原大學 國際經營與貿易學系,"['國社', '英', '數B']","{'國': 13, '社': 13, '英': 13, '數B': 10}",管理,"{'國社': 25.08522151116696, '英': 12.883083553252792, '數B': 10.333333333333334}"
中原大學 土木工程學系,['國數A'],"{'國': 8, '數A': 8}",工程,{'國數A': 16.68382479474715}
中原大學 地景建築學系,['國'],{'國': 11},建築設計,{'國': 10.655811943963586}
中原大學 室內設計學系,"['國', '國英社']","{'國': 11, '英': 11, '社': 11}",建築設計,"{'國': 11.0, '國英社': 32.19640130381016}"
中原大學 工業與系統工程學系工程組,['國數A'],"{'國': 8, '數A': 8}",工程,{'國數A': 16.88274822698907}
中原大學 工業與系統工程學系管理組,['國英'],"{'國': 10, '英': 10}",工程,{'國英': 20.32696447135217}
中原大學 建築學系,['國英數A'],"{'國': 11, '英': 11, '數A': 11}",建築設計,{'國英數A': 32.0}
中原大學 心理學系,"['數A', '國英數A自']","{'數A': 8, '國': 8, '英': 8, '自': 8}",社會心理,"{'數A': 6.617673797131314, '國英數A自': 32.95571813806522}"
中原大學 應用外國語文學系,"['國', '英']","{'國': 9, '英': 10}",文史哲,"{'國': 9.284240505089524, '英': 9.988126761206544}"
中原大學 應用數學系,['數A'],{'數A': 10},數理化,{'數A': 9.746574854007424}
中原大學 應用華語文學系,"['國', '英']","{'國': 10, '英': 5}",文史哲,"{'國': 9.94591072122754, '英': 4.626224697298537}"
中原大學 會計學系,['英社'],"{'英': 9, '社': 9}",管理,{'英社': 18.0}
中原大學 機械工程學系,"['數A', '國數A自']","{'數A': 9, '國': 9, '自': 9}",工程,"{'數A': 8.0, '國數A自': 28.0}"
中原大學 物理學系光電與材料科學組,"['數A', '自']","{'數A': 8, '自': 5}",工程,"{'數A': 8.163942030866416, '自': 4.640925229510692}"
中原大學 物理學系物理組,"['數A', '自']","{'數A': 7, '自': 10}",數理化,"{'數A': 7.2624890794192, '自': 9.726445319810686}"
中原大學 特殊教育學系,"['國', '英']","{'國': 11, '英': 7}",教育,"{'國': 10.683998219742136, '英': 7.0}"
中原大學 環境工程學系,"['自', '國英自']","{'自': 10, '國': 10, '英': 10}",工程,"{'自': 9.585322408265052, '國英自': 28.83176344263281}"
中原大學 生物科技學系,"['英', '自']","{'英': 8, '自': 8}",工程,"{'英': 8.344778600109876, '自': 7.568421654942597}"
中原大學 生物醫學工程學系,['自'],{'自': 11},醫藥衛生,{'自': 11.0}
中原大學 英國牛津布魯克斯大學建築及都市設計雙學士學位學程,"['國', '英']","{'國': 11, '英': 7}",建築設計,"{'國': 11.0, '英': 7.0}"
中原大學 財務金融學系,"['國', '社']","{'國': 11, '社': 12}",管理,"{'國': 11.0, '社': 12.0}"
中原大學 財經法律學系科技法組,"['國', '英']","{'國': 11, '英': 8}",工程,"{'國': 11.0, '英': 8.0}"
中原大學 財經法律學系財貿法組,"['國', '英']","{'國': 12, '英': 9}",法政,"{'國': 12.0, '英': 9.0}"
中原大學 資訊工程學系,['英'],{'英': 11},工程,{'英': 11.0}
中原大學 資訊管理學系,['國'],{'國': 12},資訊,{'國': 12.0}
中原大學 電子工程學系,['英'],{'英': 10},工程,{'英': 10.0}
中原大學 電機工程學系,['英數A'],"{'英': 10, '數A': 10}",工程,{'英數A': 19.66767309794734}
中原大學 電機資訊學院學士班,['數A'],{'數A': 9},資訊,{'數A': 9.060299188950108}
中原大學 電機資訊學院智慧運算與大數據學士班,['英數A'],"{'英': 8, '數A': 8}",資訊,{'英數A': 16.957876054786695}
中國醫藥大學 中國藥學暨中藥資源學系,['國'],{'國': 13},醫藥衛生,{'國': 13.0}
中國醫藥大學 中醫學系乙組,"['國', '英數A', '自']","{'國': 14, '英': 13, '數A': 13, '自': 14}",醫藥衛生,"{'國': 14.0, '英數A': 26.0, '自': 14.0}"
中國醫藥大學 中醫學系甲組,"['國', '英數A', '自']","{'國': 14, '英': 13, '數A': 13, '自': 15}",醫藥衛生,"{'國': 13.683405685136217, '英數A': 26.971894006604767, '自': 14.800729676717884}"
中國醫藥大學 公共衛生學院大一不分系,"['國', '英']","{'國': 12, '英': 5}",醫藥衛生,"{'國': 12.0, '英': 5.0}"
中國醫藥大學 營養學系,"['英', '自']","{'英': 8, '自': 11}",醫藥衛生,"{'英': 8.090281940305596, '自': 11.327546039161456}"
中國醫藥大學 牙醫學系,"['國社', '數A自', '國數A社自']","{'國': 14, '社': 14, '數A': 14, '自': 14}",醫藥衛生,"{'國社': 28.0, '數A自': 28.0, '國數A社自': 56.0}"
中國醫藥大學 物理治療學系,"['英', '自']","{'英': 12, '自': 13}",醫藥衛生,"{'英': 12.07755811826216, '自': 12.502174340575756}"
中國醫藥大學 生物科技學系,"['英', '自']","{'英': 12, '自': 7}",工程,"{'英': 12.0243741179107, '自': 7.051208628139226}"
中國醫藥大學 生物醫學工程學系,"['英', '自']","{'英': 12, '自': -2}",醫藥衛生,"{'英': 12.412419907169872, '自': -2.156229014519207}"
中國醫藥大學 生物醫學影像暨放射科學學系,['英'],{'英': 10},醫藥衛生,{'英': 9.724294726806836}
中國醫藥大學 藥學系,"['數A', '自']","{'數A': 11, '自': 13}",醫藥衛生,"{'數A': 10.999046910892496, '自': 12.768437303364529}"
中國醫藥大學 藥用化妝品學系,"['英', '自']","{'英': 7, '自': 11}",醫藥衛生,"{'英': 6.648931195386477, '自': 10.843776740089933}"
中國醫藥大學 護理學系,"['國自', '國英自']","{'國': 7, '自': 7, '英': 7}",醫藥衛生,"{'國自': 22.0, '國英自': 20.0}"
中國醫藥大學 運動醫學系,"['英', '自']","{'英': 2, '自': 11}",醫藥衛生,"{'英': 1.558838770211496, '自': 11.330867150777571}"
中國醫藥大學 醫學檢驗生物技術學系,"['英', '自']","{'英': 9, '自': 13}",醫藥衛生,"{'英': 8.811828116434498, '自': 12.665026467130316}"
中國醫藥大學 醫學系,"['國社', '數A自', '國數A社自']","{'國': 14, '社': 14, '數A': 14, '自': 14}",醫藥衛生,"{'國社': 27.791266535481544, '數A自': 27.646588551753087, '國數A社自': 54.14389626960658}"
中國醫藥大學 醫療資訊學系,"['英', '自']","{'英': 5, '自': 9}",資訊,"{'英': 5.0, '自': 9.0}"
中山醫學大學 健康產業科技管理學系,['國'],{'國': 8},工程,{'國': 8.2}
中山醫學大學 公共衛生學系(A組),['國自'],"{'國': 12, '自': 12}",醫藥衛生,{'國自': 23.0}
中山醫學大學 公共衛生學系(B組),"['國', '社']","{'國': 8, '社': 11}",醫藥衛生,"{'國': 8.4, '社': 11.357459861242775}"
中山醫學大學 心理學系,['國英'],"{'國': 10, '英': 10}",社會心理,{'國英': 21.0}
中山醫學大學 應用外國語言學系,['國英社'],"{'國': 9, '英': 9, '社': 9}",外語,{'國英社': 27.2704601301317}
中山醫學大學 營養學系(A組),['英自'],"{'英': 10, '自': 10}",醫藥衛生,{'英自': 21.0}
中山醫學大學 營養學系(B組),['國英社'],"{'國': 11, '英': 11, '社': 11}",醫藥衛生,{'國英社': 34.0}
中山醫學大學 牙醫學系,"['國', '英', '數A', '自']","{'國': 14, '英': 15, '數A': 13, '自': 14}",醫藥衛生,"{'國': 14.0, '英': 15.0, '數A': 12.905718475191271, '自': 13.800729676717884}"
中山醫學大學 物理治療學系,['國英自'],"{'國': 13, '英': 13, '自': 13}",醫藥衛生,{'國英自': 38.636526607973565}
中山醫學大學 生物醫學科學學系,"['自', '國英']","{'自': 12, '國': 5, '英': 5}",醫藥衛生,"{'自': 12.338548533077098, '國英': 9.75252226690375}"
中山醫學大學 職業安全衛生學系,['國英自'],"{'國': 7, '英': 7, '自': 7}",醫藥衛生,{'國英自': 22.0}
中山醫學大學 職能治療學系,"['國', '英']","{'國': 11, '英': 13}",醫藥衛生,"{'國': 11.383611197377787, '英': 12.664602658255678}"
中山醫學大學 視光學系,"['國', '英']","{'國': 12, '英': 10}",醫藥衛生,"{'國': 12.405481377371752, '英': 9.659814139597492}"
中山醫學大學 語言治療與聽力學系聽力組,['國英數A自'],"{'國': 11, '英': 11, '數A': 11, '自': 11}",外語,{'國英數A自': 43.27022209900714}
中山醫學大學 語言治療與聽力學系語言治療組,['國英數A自'],"{'國': 12, '英': 12, '數A': 12, '自': 12}",外語,{'國英數A自': 47.37911422158276}
中山醫學大學 護理學系,['國英自'],"{'國': 10, '英': 10, '自': 10}",醫藥衛生,{'國英自': 29.726946784052863}
中山醫學大學 醫學影像暨放射科學系,"['英', '自']","{'英': 10, '自': 11}",醫藥衛生,"{'英': 9.555555555555555, '自': 10.901090057004778}"
中山醫學大學 醫學應用化學系,['國數A自'],"{'國': 12, '數A': 12, '自': 12}",醫藥衛生,{'國數A自': 36.05358663062473}
中山醫學大學 醫學檢驗暨生物技術學系,"['英', '自']","{'英': 8, '自': 11}",醫藥衛生,"{'英': 8.0, '自': 11.0}"
中山醫學大學 醫學社會暨社會工作學系,['國社'],"{'國': 12, '社': 12}",醫藥衛生,{'國社': 24.0}
中山醫學大學 醫學系,"['國英', '數A自']","{'國': 15, '英': 15, '數A': 12, '自': 12}",醫藥衛生,"{'國英': 29.322494214176224, '數A自': 24.668305267204364}"
中山醫學大學 醫學資訊學系,"['英', '數A']","{'英': 7, '數A': 9}",醫藥衛生,"{'英': 7.153574437079437, '數A': 8.786486189014415}"
中山醫學大學 醫療產業科技管理學系,"['英', '數B']","{'英': 7, '數B': 10}",工程,"{'英': 6.989900083836121, '數B': 9.504689205195737}"
亞洲大學 健康產業管理學系跨領域高齡智慧照顧組,['國'],{'國': 8},管理,{'國': 8.0}
亞洲大學 健康產業管理學系醫療機構管理組,['國英'],"{'國': 6, '英': 6}",管理,{'國英': 11.0}
亞洲大學 創意商品設計學系,['國'],{'國': 10},建築設計,{'國': 10.0}
亞洲大學 室內設計學系,['國'],{'國': 9},建築設計,{'國': 9.0}
亞洲大學 幼兒教育學系,['國社'],"{'國': 10, '社': 10}",教育,{'國社': 19.88271750210028}
亞洲大學 心理學系工商與社會心理組,['英社'],"{'英': 8, '社': 8}",社會心理,{'英社': 15.971847280040478}
亞洲大學 心理學系心理師研修組,"['英', '自', '英自']","{'英': 8, '自': 8}",社會心理,"{'英': 2.3257860533261234, '自': 6.296344807083299, '英自': 16.313054645990753}"
亞洲大學 心理學系諮商與臨床心理組,['國英'],"{'國': 10, '英': 10}",社會心理,{'國英': 19.35919485270585}
亞洲大學 數位媒體設計學系動漫遊戲組,['國社'],"{'國': 10, '社': 10}",建築設計,{'國社': 21.0}
亞洲大學 數位媒體設計學系視覺傳達組,['國'],{'國': 10},建築設計,{'國': 10.0}
亞洲大學 時尚設計學系,['國'],{'國': 11},建築設計,{'國': 10.703987571478894}
亞洲大學 會計與資訊學系,['社'],{'社': 11},資訊,{'社': 10.678729930621389}
亞洲大學 物理治療學系,"['國', '英', '自']","{'國': 11, '英': 10, '自': 10}",醫藥衛生,"{'國': 11.35135247500132, '英': 9.665552625212776, '自': 10.11470178672064}"
亞洲大學 生物資訊與醫學工程學系生醫資訊組,"['國', '英']","{'國': 4, '英': 6}",醫藥衛生,"{'國': 3.504670538601662, '英': 5.857142857142857}"
亞洲大學 生物資訊與醫學工程學系醫學工程組,"['國', '英']","{'國': 9, '英': 8}",醫藥衛生,"{'國': 9.0, '英': 8.5}"
亞洲大學 經營管理學系休閒遊憩管理組,['社'],{'社': 9},管理,{'社': 9.0}
亞洲大學 經營管理學系行銷與企業管理組,['國'],{'國': 10},管理,{'國': 10.0}
亞洲大學 職能治療學系,['英'],{'英': 8},醫藥衛生,{'英': 7.926939625581826}
亞洲大學 聽力暨語言治療學系,"['國', '英', '自']","{'國': 10, '英': 7, '自': 8}",外語,"{'國': 10.0, '英': 7.0, '自': 8.0}"
亞洲大學 視光學系,['國英'],"{'國': 9, '英': 9}",醫藥衛生,{'國英': 18.39635614923027}
亞洲大學 護理學系國際護理組,['英'],{'英': 6},醫藥衛生,{'英': 6.4955454267043695}
亞洲大學 護理學系臨床照護組,['國'],{'國': 11},醫藥衛生,{'國': 11.0}
亞洲大學 財務金融學系智能投資組,['國'],{'國': 10},管理,{'國': 10.232079107345111}
亞洲大學 財務金融學系金融科技組,"['國', '數B']","{'國': 9, '數B': 6}",工程,"{'國': 9.0, '數B': 6.0}"
亞洲大學 財經法律學系,['國'],{'國': 11},法政,{'國': 11.0}
亞洲大學 資訊傳播學系,['國'],{'國': 9},資訊,{'國': 9.0}
亞洲大學 資訊工程學系人工智慧與機器人組,['國'],{'國': 11},工程,{'國': 11.0}
亞洲大學 資訊工程學系半導體資訊組,['數A'],{'數A': 9},工程,{'數A': 9.0}
亞洲大學 醫學檢驗暨生物技術學系生物技術組,"['英', '自', '國英自']","{'英': 9, '自': 9, '國': 9}",醫藥衛生,"{'英': 5.007444106067592, '自': 5.74242283169994, '國英自': 25.897939703893183}"
亞洲大學 醫學檢驗暨生物技術學系醫事檢驗組,"['國', '英', '自', '國英自']","{'國': 10, '英': 10, '自': 10}",醫藥衛生,"{'國': 8.689826547548053, '英': 6.0, '自': 6.718893246271701, '國英自': 29.139250835073582}"
亞洲大學 長期照護學系,['國'],{'國': 9},醫藥衛生,{'國': 9.0}
亞洲大學 食品營養與保健生技學系藥用化粧品醫美組,"['國', '英']","{'國': 8, '英': 3}",醫藥衛生,"{'國': 8.0, '英': 3.0}"
亞洲大學 食品營養與保健生技學系食品營養組,"['國', '自']","{'國': 11, '自': 9}",醫藥衛生,"{'國': 11.24372831606967, '自': 9.430439285768871}"
元智大學 中國語文學系,['國'],{'國': 12},文史哲,{'國': 12.0}
元智大學 人文社會學院英語學士班,['國英'],"{'國': 4, '英': 4}",社會心理,{'國英': 7.50507395117538}
元智大學 化學工程與材料科學學系,['國自'],"{'國': 11, '自': 11}",工程,{'國自': 22.0}
元智大學 工業工程與管理學系,['國英'],"{'國': 8, '英': 8}",工程,{'國英': 17.0}
元智大學 工程學院英語學士班,['英自'],"{'英': 7, '自': 7}",工程,{'英自': 13.938118106712148}
元智大學 應用外語學系,"['英', '國英']","{'英': 10, '國': 10}",外語,"{'英': 7.634800750071568, '國英': 20.634980029283835}"
元智大學 機械工程學系,['國自'],"{'國': 10, '自': 10}",工程,{'國自': 20.11111111111111}
元智大學 社會暨政策科學學系,"['國', '數B', '國數B社']","{'國': 4, '數B': 4, '社': 4}",社會心理,"{'國': 8.0, '數B': 4.690487547477231, '國數B社': 13.0}"
元智大學 管理學院學士班(主修：國際企業管理),"['國數B', '英']","{'國': 3, '數B': 3, '英': 6}",數理化,"{'國數B': 6.0, '英': 6.0}"
元智大學 管理學院學士班(主修：數位行銷與人力資源),"['國', '社']","{'國': 10, '社': 9}",數理化,"{'國': 10.0, '社': 9.0}"
元智大學 管理學院學士班(主修：會計),['國英數B'],"{'國': 6, '英': 6, '數B': 6}",數理化,{'國英數B': 19.200000000000003}
元智大學 管理學院學士班(主修：財務金融),['國英數B'],"{'國': 8, '英': 8, '數B': 8}",數理化,{'國英數B': 25.0}
元智大學 管理學院學士班(英語專班),"['英', '國英']","{'英': 4, '國': 4}",數理化,"{'英': 6.0, '國英': 8.629735356786028}"
元智大學 護理學系,['國英自'],"{'國': 8, '英': 8, '自': 8}",醫藥衛生,{'國英自': 25.0}
元智大學 資訊傳播學系(數位媒體設計-創作組),"['國', '英']","{'國': 8, '英': 8}",資訊,"{'國': 8.5, '英': 8.5}"
元智大學 資訊傳播學系(智慧科技應用組),"['國', '英數B']","{'國': 9, '英': 2, '數B': 2}",工程,"{'國': 9.0, '英數B': 3.0}"
元智大學 資訊學院英語學士班,['國英數A'],"{'國': 8, '英': 8, '數A': 8}",資訊,{'國英數A': 25.30374582559229}
元智大學 資訊工程學系,"['數A', '國英數A']","{'數A': 10, '國': 10, '英': 10}",工程,"{'數A': 8.0, '國英數A': 29.0}"
元智大學 資訊管理學系,['國英數B'],"{'國': 9, '英': 9, '數B': 9}",資訊,{'國英數B': 26.29970233308899}
元智大學 電機工程學系(丙組),['國英數A'],"{'國': 9, '英': 9, '數A': 9}",工程,{'國英數A': 28.0}
元智大學 電機工程學系(乙組),['國自'],"{'國': 11, '自': 11}",工程,{'國自': 22.0}
元智大學 電機工程學系(甲組),['英數A自'],"{'英': 9, '數A': 9, '自': 9}",工程,{'英數A自': 28.248886598084223}
元智大學 電機通訊學院英語學士班,['英自'],"{'英': 10, '自': 10}",資訊,{'英自': 19.0}
國立中央大學 中國文學系,"['國', '英']","{'國': 14, '英': 10}",文史哲,"{'國': 14.0, '英': 9.580528822606324}"
國立中央大學 企業管理學系,"['國英數B', '數B社']","{'國': 11, '英': 11, '數B': 12, '社': 12}",管理,"{'國英數B': 33.40642111951552, '數B社': 23.15383831675427}"
國立中央大學 光電科學與工程學系,"['英', '數A', '自']","{'英': 12, '數A': 11, '自': 13}",工程,"{'英': 12.0, '數A': 10.997676760991729, '自': 12.686016618118035}"
國立中央大學 化學學系,['英數A自'],"{'英': 12, '數A': 12, '自': 12}",數理化,{'英數A自': 35.59243885283376}
國立中央大學 化學工程與材料工程學系,['數A'],{'數A': 10},工程,{'數A': 10.420630841363293}
國立中央大學 土木工程學系,['英數A自'],"{'英': 11, '數A': 11, '自': 11}",工程,{'英數A自': 34.02256089853112}
國立中央大學 地球科學學系,['英數A自'],"{'英': 10, '數A': 10, '自': 10}",地球環境,{'英數A自': 30.401664855359808}
國立中央大學 地球科學學院學士班,"['英數A自', '數A自']","{'英': 10, '數A': 10, '自': 10}",地球環境,"{'英數A自': 30.406032079801136, '數A自': 20.67766130257626}"
國立中央大學 大氣科學學系,"['數A自', '英數A自']","{'數A': 11, '自': 11, '英': 11}",地球環境,"{'數A自': 21.006943962694567, '英數A自': 33.778360650811244}"
國立中央大學 太空科學與工程學系,"['數A自', '英數A自']","{'數A': 12, '自': 12, '英': 12}",工程,"{'數A自': 21.35364372125001, '英數A自': 35.66321200386493}"
國立中央大學 客家語文暨社會科學學系客家社會及政策組,['國社'],"{'國': 12, '社': 12}",社會心理,{'國社': 24.64946661431743}
國立中央大學 客家語文暨社會科學學系客家語文及傳播組,['國社'],"{'國': 12, '社': 12}",社會心理,{'國社': 25.0}
國立中央大學 工學院學士班,['自社'],"{'自': 14, '社': 14}",跨領域,{'自社': 27.666666666666668}
國立中央大學 數學系數學科學組,"['英自', '數A']","{'英': 8, '自': 8, '數A': 13}",數理化,"{'英自': 17.0, '數A': 13.0}"
國立中央大學 數學系計算與資料科學組,"['英自', '數A']","{'英': 8, '自': 8, '數A': 12}",資訊,"{'英自': 17.0, '數A': 12.362877130765726}"
國立中央大學 文學院學士班,"['國', '英', '社', '國英數B社']","{'國': 11, '英': 11, '社': 11, '數B': 11}",文史哲,"{'國': 11.834621680394978, '英': 11.923177355839949, '社': 10.833458864535691, '國英數B社': 42.897298070589926}"
國立中央大學 機械工程學系先進材料與精密製造組,"['數A自', '國英數A自']","{'數A': 11, '自': 11, '國': 11, '英': 11}",工程,"{'數A自': 25.90652770930048, '國英數A自': 43.7195452197274}"
國立中央大學 機械工程學系光機電工程組,"['數A自', '國英數A自']","{'數A': 12, '自': 12, '國': 12, '英': 12}",工程,"{'數A自': 27.25676035481836, '國英數A自': 48.535712605766896}"
國立中央大學 機械工程學系設計與分析組,"['數A自', '國英數A自']","{'數A': 10, '自': 10, '國': 10, '英': 10}",工程,"{'數A自': 25.12838017740918, '國英數A自': 40.79068600551174}"
國立中央大學 法國語文學系,"['國', '英', '社']","{'國': 12, '英': 13, '社': 12}",文史哲,"{'國': 12.0, '英': 13.13372430690685, '社': 11.66731808592597}"
國立中央大學 物理學系,"['數A', '自']","{'數A': 10, '自': 13}",數理化,"{'數A': 9.660979878800507, '自': 13.336992508528482}"
國立中央大學 理學院學士班,"['數A', '自']","{'數A': 11, '自': 13}",數理化,"{'數A': 11.0, '自': 13.0}"
國立中央大學 生命科學系,"['數A', '自']","{'數A': 8, '自': 11}",生命科學,"{'數A': 7.665040809144136, '自': 10.941309351216836}"
國立中央大學 生醫科學與工程學系,"['英', '數A自']","{'英': 12, '數A': 11, '自': 11}",工程,"{'英': 11.952180616675776, '數A自': 21.338276969497084}"
國立中央大學 經濟學系,"['國英', '數B']","{'國': 12, '英': 12, '數B': 13}",財經,"{'國英': 23.2665714416276, '數B': 13.3281093945893}"
國立中央大學 英美語文學系,"['國', '英']","{'國': 11, '英': 15}",文史哲,"{'國': 11.0, '英': 15.0}"
國立中央大學 財務金融學系,"['國英', '社', '英社']","{'國': 12, '英': 14, '社': 14}",管理,"{'國英': 24.0, '社': 10.90315735818315, '英社': 27.0}"
國立中央大學 資訊工程學系,"['英自', '數A', '英數A自']","{'英': 12, '自': 12, '數A': 12}",工程,"{'英自': 23.61904761904762, '數A': 8.019888499849937, '英數A自': 35.42857142857143}"
國立中央大學 資訊管理學系,"['英', '數A', '自']","{'英': 13, '數A': 5, '自': 12}",資訊,"{'英': 13.0, '數A': 5.019888499850343, '自': 12.339986687170496}"
國立中央大學 資訊電機學院學士班,"['國', '英數A自']","{'國': 12, '英': 13, '數A': 13, '自': 13}",資訊,"{'國': 12.33119708427706, '英數A自': 38.33979383150805}"
國立中央大學 通訊工程學系,"['國自', '英數A', '國英數A自']","{'國': 13, '自': 13, '英': 13, '數A': 13}",工程,"{'國自': 26.0393348042866, '英數A': 24.994008484178504, '國英數A自': 51.27568485457978}"
國立中央大學 電機工程學系,['英數A自'],"{'英': 13, '數A': 13, '自': 13}",工程,{'英數A自': 38.333333333333336}
國立中山大學 中國文學系,"['國', '國英社']","{'國': 11, '英': 11, '社': 11}",文史哲,"{'國': 14.0, '國英社': 34.0}"
國立中山大學 人文暨科技跨領域學士學位學程,['國英'],"{'國': 11, '英': 11}",工程,{'國英': 22.657433839196507}
國立中山大學 企業管理學系,"['英', '數B']","{'英': 10, '數B': 12}",管理,"{'英': 10.401172920720548, '數B': 12.31992066795733}"
國立中山大學 光電工程學系,"['數A', '自']","{'數A': 14, '自': 13}",工程,"{'數A': 13.784139168660143, '自': 13.0}"
國立中山大學 光電工程學系全英語組,"['數A', '自']","{'數A': 9, '自': 13}",工程,"{'數A': 9.294832706220316, '自': 12.684158752615977}"
國立中山大學 劇場藝術學系(女),"['國', '英']","{'國': 10, '英': 10}",藝術,"{'國': 9.75, '英': 9.75}"
國立中山大學 劇場藝術學系(男),"['國', '英']","{'國': 10, '英': 10}",藝術,"{'國': 9.5, '英': 9.5}"
國立中山大學 化學系,"['英', '國數A自']","{'英': 12, '國': 12, '數A': 12, '自': 12}",數理化,"{'英': 12.166666666666666, '國數A自': 37.5}"
國立中山大學 化學系英語組,['國英數A自'],"{'國': 12, '英': 12, '數A': 12, '自': 12}",數理化,{'國英數A自': 46.1856271623136}
國立中山大學 國際經營管理全英語學士學位學程,"['英', '數B']","{'英': 12, '數B': 11}",管理,"{'英': 11.687406453684286, '數B': 10.6323355727562}"
國立中山大學 外國語文學系,"['國社', '英']","{'國': 10, '社': 10, '英': 14}",文史哲,"{'國社': 20.31186267709959, '英': 14.0}"
國立中山大學 應用數學系,"['數A', '國英數A自']","{'數A': 9, '國': 9, '英': 9, '自': 9}",數理化,"{'數A': 11.66558126218575, '國英數A自': 35.46156162247837}"
國立中山大學 應用數學系英語組,"['英', '數A', '國英數A自']","{'英': 9, '數A': 9, '國': 9, '自': 9}",數理化,"{'英': 9.003342124361671, '數A': 7.870300789882954, '國英數A自': 35.19023972815489}"
國立中山大學 政治經濟學系,"['數A', '英數A']","{'數A': 10, '英': 10}",法政,"{'數A': 8.786486189014363, '英數A': 19.0}"
